xf# UIP - User Installed Packages
# Date:      Tu, 21 May 2024 08:36:49 -0400
# Host:      orangepi5
# System:    MX-23.2_rpi_arm64 Libretto Dec 30, 2023
#
# List of user installed packages
# Package name                               Description

alsa-utils                                   Utilities for configuring and using ALSA
apt-notifier                                 tray applet to notify of system and application updates
apt-utils                                    package management related utility programs
arc-theme                                    Flat theme with transparent elements
at-spi2-core                                 Assistive Technology Service Provider Interface (D-Bus core)
automake                                     Tool for generating GNU Standards-compliant Makefiles
avahi-autoipd                                Avahi IPv4LL network address configuration daemon
base-passwd                                  Debian base system master password and group files
bash-completion                              programmable completion for the bash shell
bison                                        YACC-compatible parser generator
blueman                                      Graphical bluetooth manager
bluez-cups                                   Bluetooth printer driver for CUPS
bluez-tools                                  Set of tools to manage Bluetooth devices for linux
brltty-x11                                   Access software for a blind person using a braille display - X11 drivers
bsdutils                                     basic utilities from 4.4BSD-Lite
btrfs-progs                                  Checksumming Copy on Write Filesystem utilities
camera-engine-rkaiq                          3A libraries match Rockchip rkisp v30(rk3588).
can-utils                                    SocketCAN userspace utilities and tools
checkaptgpg                                  check and add missing GPG keys needed by apt
cheese-dbgsym                                debug symbols for cheese
chromium-x11                                 Prebuilt chromium-x11 from yocto meta-browser
cifs-utils                                   Common Internet File System utilities
console-setup                                console font and keymap setup program
conky-manager								 manage conkies easily
console-setup-linux                          Linux specific part of console-setup
cpufrequtils                                 utilities to deal with the cpufreq Linux kernel feature
cracklib-runtime                             runtime support for password checker library cracklib2
cron                                         process scheduling daemon
cron-daemon-common                           process scheduling daemon's configuration files
cups-bsd                                     Common UNIX Printing System(tm) - BSD commands
dash                                         POSIX-compliant shell
dbus-x11                                     simple interprocess messaging system (X11 deps)
desktop-defaults-mx-common                   common desktop defaults for MX Linux.
desktop-defaults-mx-xfce-desktop-rpi         xfce desktop defaults for MX
desktop-defaults-mx-xfce-system              xfce system defaults for MX
device-tree-compiler                         Device Tree Compiler for Flat Device Trees
diffutils                                    File comparison utilities
dmz-cursor-theme                             Style neutral, scalable cursor theme
dnsmasq                                      Small caching DNS proxy and DHCP/TFTP server
dnsutils                                     Transitional package for bind9-dnsutils
doc-base                                     utilities to manage online documentation
docker-ce                                    Docker: the open-source application container engine
dosfstools                                   utilities for making and checking MS-DOS FAT filesystems
eject										 permit unmounting from desktop
dvb-tools-dbgsym                             debug symbols for dvb-tools
ethtool                                      display or change Ethernet device settings
evince                                       Document (PostScript, PDF) viewer
evtest                                       utility to monitor Linux input device events
f2fs-tools                                   Tools for Flash-Friendly File System
f3                                           test real flash memory capacity
fake-hwclock                                 Save/restore system clock on machines without worki RTC hardware
fbset                                        framebuffer device maintenance program
fcitx                                        Flexible Input Method Framework
fcitx-config-gtk                             graphic Fcitx configuration tool
fcitx-frontend-gtk3                          Flexible Input Method Framework - GTK+ 3 IM Module frontend
fcitx-frontend-qt5                           Free Chinese Input Toy of X - Qt5 IM Module frontend
fcitx-googlepinyin                           Fcitx wrapper for Google Pinyin IM engine
fcitx-table-all                              Flexible Input Method Framework - tables metapackage
fcitx-ui-classic                             Flexible Input Method Framework - Classic user interface
featherpad                                   Lightweight Qt5 plain-text editor
ffmpeg                                       Tools for transcoding, streaming and playing of multimedia files
ffmpeg-doc                                   Documentation of the FFmpeg multimedia framework
figlet                                       Make large character ASCII banners out of ordinary text
findutils                                    utilities for finding files--find, xargs
flatpak                                      Application deployment framework for desktop apps
flex                                         fast lexical analyzer generator
fonts-arphic-bsmi00lp                        "AR PL Mingti2L Big5" Chinese TrueType font by Arphic Technology
fonts-arphic-gbsn00lp                        "AR PL SungtiL GB" Chinese TrueType font by Arphic Technology
fonts-arphic-gkai00mp                        "AR PL KaitiM GB" Chinese TrueType font by Arphic Technology
fonts-arphic-ukai                            "AR PL UKai" Chinese Unicode TrueType font collection Kaiti style
fonts-arphic-uming                           "AR PL UMing" Chinese Unicode TrueType font collection Mingti style
fonts-freefont-ttf                           Freefont Serif, Sans and Mono Truetype fonts
fonts-guru                                   Meta package to install all Punjabi fonts
fonts-kacst                                  KACST free TrueType Arabic fonts
fonts-kacst-one                              TrueType font designed for Arabic language
fonts-liberation                             Fonts with the same metrics as Times, Arial and Courier
fonts-nanum                                  Nanum Korean fonts
fonts-stix                                   Scientific and Technical Information eXchange fonts
fonts-symbola                                symbolic font providing emoji characters from Unicode 9.0
fonts-wqy-zenhei                             "WenQuanYi Zen Hei" A Hei-Ti Style (sans-serif) Chinese font
foomatic-db-compressed-ppds                  OpenPrinting printer support - Compressed PPDs derived from the database
galternatives                                graphical setup tool for the alternatives system
gdebi                                        simple tool to view and install deb files - GNOME GUI
geany                                        fast and lightweight IDE
ghostscript-x                                transitional package for ghostscript
git                                          fast, scalable, distributed revision control system
glmark2-drm-dbgsym                           debug symbols for glmark2-drm
glmark2-es2-drm-dbgsym                       debug symbols for glmark2-es2-drm
glmark2-es2-wayland-dbgsym                   debug symbols for glmark2-es2-wayland
glmark2-es2-x11-dbgsym                       debug symbols for glmark2-es2-x11
glmark2-wayland-dbgsym                       debug symbols for glmark2-wayland
glmark2-x11-dbgsym                           debug symbols for glmark2-x11
gnome-font-viewer                            font viewer for GNOME
gnome-software                               Software Center for GNOME
gnupg2                                       GNU privacy guard - a free PGP replacement (dummy transitional package)
gparted                                      GNOME partition editor
gstreamer1.0-alsa-dbgsym                     debug symbols for gstreamer1.0-alsa
gstreamer1.0-gl-dbgsym                       debug symbols for gstreamer1.0-gl
gstreamer1.0-gtk3-dbgsym                     debug symbols for gstreamer1.0-gtk3
gstreamer1.0-opencv-dbgsym                   debug symbols for gstreamer1.0-opencv
gstreamer1.0-packagekit                      GStreamer plugin to install codecs using PackageKit
gstreamer1.0-plugins-bad-apps-dbgsym         debug symbols for gstreamer1.0-plugins-bad-apps
gstreamer1.0-plugins-bad-dbgsym              debug symbols for gstreamer1.0-plugins-bad
gstreamer1.0-plugins-base-apps-dbgsym        debug symbols for gstreamer1.0-plugins-base-apps
gstreamer1.0-plugins-base-dbgsym             debug symbols for gstreamer1.0-plugins-base
gstreamer1.0-plugins-good-dbgsym             debug symbols for gstreamer1.0-plugins-good
gstreamer1.0-plugins-ugly                    GStreamer plugins from the "ugly" set
gstreamer1.0-pulseaudio                      GStreamer plugin for PulseAudio (transitional package)
gstreamer1.0-qt5-dbgsym                      debug symbols for gstreamer1.0-qt5
gstreamer1.0-qt6-dbgsym                      debug symbols for gstreamer1.0-qt6
gstreamer1.0-rockchip1-dbgsym                debug symbols for gstreamer1.0-rockchip1
gstreamer1.0-tools-dbgsym                    debug symbols for gstreamer1.0-tools
gstreamer1.0-wpe-dbgsym                      debug symbols for gstreamer1.0-wpe
gtk2-engines                                 theme engines for GTK+ 2.x
gvfs                                         userspace virtual filesystem - GIO module
gzip                                         GNU compression utilities
haveged                                      Linux entropy source using the HAVEGE algorithm
hdparm                                       tune hard disk parameters for high performance
hostapd                                      access point and authentication server for Wi-Fi and Ethernet
hostname                                     utility to set/show the host name or domain name
hplip                                        HP Linux Printing and Imaging System (HPLIP)
htop                                         interactive processes viewer
hunspell-en-us                               English_american dictionary for hunspell
